id,Product_ID,name,Brand,category,Price,Ingredients
24,85,BudgetBeauty Serum,BudgetBeauty,Serum,12,Hyaluronic Acid|Vitamin C
25,25,InfluenceX Serum,InfluenceX,Serum,132,Vitamin C|Hyaluronic Acid|Ceramides
26,46,ClinicalSkin Serum,ClinicalSkin,Serum,25,Vitamin C|Hyaluronic Acid|Retinol
27,61,ClinicalSkin Serum,ClinicalSkin,Serum,53,Hyaluronic Acid|Vitamin C
28,66,InfluenceX Serum,InfluenceX,Serum,50,Hyaluronic Acid|Vitamin C
29,21,BudgetBeauty Serum,BudgetBeauty,Serum,130,Hyaluronic Acid
30,35,BudgetBeauty Serum,BudgetBeauty,Serum,50,Hyaluronic Acid|Vitamin C
31,29,DermaCare Cleanser,DermaCare,Cleanser,138,Vitamin C|Salicylic Acid|Ceramides
32,95,LuxuryGlow Cleanser,LuxuryGlow,Cleanser,121,Salicylic Acid
33,97,ClinicalSkin Cleanser,ClinicalSkin,Cleanser,114,Vitamin C
34,92,LuxuryGlow Cleanser,LuxuryGlow,Cleanser,83,Vitamin C|Retinol|Salicylic Acid
35,37,LuxuryGlow Cleanser,LuxuryGlow,Cleanser,12,Retinol|Hyaluronic Acid|Salicylic Acid
36,58,InfluenceX Cleanser,InfluenceX,Cleanser,84,Salicylic Acid|Ceramides
37,56,InfluenceX Cleanser,InfluenceX,Cleanser,104,Hyaluronic Acid|Salicylic Acid
38,55,DermaCare Cleanser,DermaCare,Cleanser,25,Ceramides|Vitamin C|Salicylic Acid
39,67,LuxuryGlow Cleanser,LuxuryGlow,Cleanser,20,Vitamin C
40,41,BudgetBeauty Cleanser,BudgetBeauty,Cleanser,109,Hyaluronic Acid|Salicylic Acid
41,27,ClinicalSkin Cleanser,ClinicalSkin,Cleanser,97,Ceramides|Vitamin C
42,9,DermaCare Cleanser,DermaCare,Cleanser,99,Salicylic Acid|Ceramides
43,76,LuxuryGlow Cleanser,LuxuryGlow,Cleanser,146,Salicylic Acid|Hyaluronic Acid|Vitamin C
44,15,LuxuryGlow Cleanser,LuxuryGlow,Cleanser,89,Hyaluronic Acid|Retinol|Salicylic Acid
45,7,ClinicalSkin Cleanser,ClinicalSkin,Cleanser,40,Salicylic Acid|Hyaluronic Acid
46,12,InfluenceX Cleanser,InfluenceX,Cleanser,149,Salicylic Acid|Vitamin C|Ceramides
47,87,ClinicalSkin Cleanser,ClinicalSkin,Cleanser,89,Salicylic Acid|Hyaluronic Acid
48,88,BudgetBeauty Cleanser,BudgetBeauty,Cleanser,128,Salicylic Acid
49,96,DermaCare Cleanser,DermaCare,Cleanser,106,Salicylic Acid|Retinol|Vitamin C
50,33,ClinicalSkin Cleanser,ClinicalSkin,Cleanser,62,Salicylic Acid
51,43,InfluenceX Toner,InfluenceX,Toner,121,Ceramides
52,8,InfluenceX Toner,InfluenceX,Toner,69,Retinol|Hyaluronic Acid
53,93,LuxuryGlow Toner,LuxuryGlow,Toner,19,Hyaluronic Acid|Retinol
54,98,DermaCare Toner,DermaCare,Toner,118,Retinol
55,23,LuxuryGlow Toner,LuxuryGlow,Toner,132,Ceramides
56,18,BudgetBeauty Toner,BudgetBeauty,Toner,50,Hyaluronic Acid|Retinol
57,73,LuxuryGlow Toner,LuxuryGlow,Toner,64,Ceramides
58,38,BudgetBeauty Toner,BudgetBeauty,Toner,108,Ceramides
59,68,LuxuryGlow Toner,LuxuryGlow,Toner,52,Retinol|Vitamin C
60,28,ClinicalSkin Toner,ClinicalSkin,Toner,48,Retinol|Hyaluronic Acid
61,48,BudgetBeauty Toner,BudgetBeauty,Toner,43,Ceramides|Vitamin C
62,89,ClinicalSkin Sunscreen,ClinicalSkin,Sunscreen,22,Retinol
63,24,BudgetBeauty Sunscreen,BudgetBeauty,Sunscreen,89,Vitamin C
64,69,BudgetBeauty Sunscreen,BudgetBeauty,Sunscreen,63,Ceramides|Vitamin C
65,4,LuxuryGlow Sunscreen,LuxuryGlow,Sunscreen,36,Hyaluronic Acid
66,84,BudgetBeauty Sunscreen,BudgetBeauty,Sunscreen,23,Hyaluronic Acid
67,39,ClinicalSkin Sunscreen,ClinicalSkin,Sunscreen,89,Ceramides
68,99,BudgetBeauty Sunscreen,BudgetBeauty,Sunscreen,11,Retinol
69,49,LuxuryGlow Sunscreen,LuxuryGlow,Sunscreen,105,Hyaluronic Acid
70,44,DermaCare Sunscreen,DermaCare,Sunscreen,133,Vitamin C
71,79,BudgetBeauty Sunscreen,BudgetBeauty,Sunscreen,117,Retinol
